,CPI65M11,CPI66M2,CPI66M5,CPI66M8,CPI66M11,CPI67M2,CPI67M5,CPI67M8,CPI67M11,CPI68M2,CPI68M5,CPI68M8,CPI68M11,CPI69M2,CPI69M5,CPI69M8,CPI69M11,CPI70M2,CPI70M5,CPI70M8,CPI70M11,CPI71M2,CPI71M5,CPI71M8,CPI71M11,CPI72M2,CPI72M5,CPI72M8,CPI72M11,CPI73M2,CPI73M5,CPI73M8,CPI73M11,CPI74M2,CPI74M5,CPI74M8,CPI74M11,CPI75M2,CPI75M5,CPI75M8,CPI75M11,CPI76M2,CPI76M5,CPI76M8,CPI76M11,CPI77M2,CPI77M5,CPI77M8,CPI77M11,CPI78M2,CPI78M5,CPI78M8,CPI78M11,CPI79M2,CPI79M5,CPI79M8,CPI79M11,CPI80M2,CPI80M5,CPI80M8,CPI80M11,CPI81M2,CPI81M5,CPI81M8,CPI81M11,CPI82M2,CPI82M5,CPI82M8,CPI82M11,CPI83M2,CPI83M5,CPI83M8,CPI83M11,CPI84M2,CPI84M5,CPI84M8,CPI84M11,CPI85M2,CPI85M5,CPI85M8,CPI85M11,CPI86M2,CPI86M5,CPI86M8,CPI86M11,CPI87M2,CPI87M5,CPI87M8,CPI87M11,CPI88M2,CPI88M5,CPI88M8,CPI88M11,CPI89M2,CPI89M5,CPI89M8,CPI89M11,CPI90M2,CPI90M5,CPI90M8,CPI90M11,CPI91M2,CPI91M5,CPI91M8,CPI91M11,CPI92M2,CPI92M5,CPI92M8,CPI92M11,CPI93M2,CPI93M5,CPI93M8,CPI93M11,CPI94M2,CPI94M5,CPI94M8,CPI94M11,CPI95M2,CPI95M5,CPI95M8,CPI95M11,CPI96M2,CPI96M5,CPI96M8,CPI96M11,CPI97M2,CPI97M5,CPI97M8,CPI97M11,CPI98M2,CPI98M5,CPI98M8,CPI98M11,CPI99M2,CPI99M5,CPI99M8,CPI99M11,CPI00M2,CPI00M5,CPI00M8,CPI00M11,CPI01M2,CPI01M5,CPI01M8,CPI01M11,CPI02M2,CPI02M5,CPI02M8,CPI02M11,CPI03M2,CPI03M5,CPI03M8,CPI03M11,CPI04M2,CPI04M5,CPI04M8,CPI04M11,CPI05M2,CPI05M5,CPI05M8,CPI05M11,CPI06M2,CPI06M5,CPI06M8,CPI06M11,CPI07M2,CPI07M5,CPI07M8,CPI07M11,CPI08M2,CPI08M5,CPI08M8,CPI08M11,CPI09M2,CPI09M5,CPI09M8,CPI09M11,CPI10M2,CPI10M5,CPI10M8,CPI10M11,CPI11M2,CPI11M5,CPI11M8,CPI11M11,CPI12M2,CPI12M5
1994:03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,147.2,147.2,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1
1994:04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,147.4,147.4,147.4,147.4,147.4,147.4,147.4,147.4,147.4,147.4,147.4,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.3,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2
1994:05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,147.7,147.7,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.6,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5,147.5
1994:06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,148.1,148.1,148.1,148.1,148.1,148.1,148.1,148.1,148.1,148.1,148.1,148,148,148,148,148.1,148.1,148.1,148.1,148,148,148,148,148,148,148,148,148,148,148,148,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9,147.9
1994:07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,148.6,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.5,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4
1994:08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.2,149.2,149.2,149.2,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149.1,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
1994:09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3
1994:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.5,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4
1994:11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.9,149.9,149.9,149.9,150,150,150,150,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8,149.8
1994:12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.3,150.3,150.3,150.3,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.2,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1,150.1
1995:01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5,150.5
1995:02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,151,151,151,151,150.9,150.9,150.9,150.9,151,151,151,151,150.9,150.9,150.9,150.9,151,151,151,151,151,151,151,151,151,151,151,151,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9,150.9
1995:03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.2,151.2,151.2,151.2,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.3,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2,151.2
1995:04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,151.9,151.9,151.9,151.9,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.9,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8,151.8
